"dieta","cambio_col","nivel"
"chia",1.1419975224035,"saludable"
"chia",21.224228313646,"riesgoso"
"chia",37.763646487238,"riesgoso"
"chia",-4.56395657745399,"saludable"
"chia",35.873484788591,"riesgoso"
"chia",30.903718338049,"riesgoso"
"chia",32.562531948368,"riesgoso"
"chia",63.498306381458,"alto"
"chia",-6.5657224673396,"saludable"
"chia",68.021061662697,"alto"
"chia",7.6565521159458,"saludable"
"chia",-3.9365571250721,"saludable"
"chia",8.5092452990107,"saludable"
"chia",37.579571089386,"riesgoso"
"chia",34.561371199668,"riesgoso"
"chia",20.770307109647,"riesgoso"
"chia",1.4094800727563,"saludable"
"chia",10.5527156565459,"saludable"
"chia",66.729408728418,"alto"
"chia",35.994348239489,"riesgoso"
"chia",12.6454883442008,"saludable"
"chia",1.7309779956738,"saludable"
"chia",23.88815461014,"riesgoso"
"chia",-19.9942452009048,"saludable"
"chia",15.4663467254703,"saludable"
"chia",7.7678201783521,"saludable"
"chia",64.81847337724,"alto"
"chia",60.362013748027,"alto"
"chia",27.837645777403,"riesgoso"
"chia",-4.1034689429797,"saludable"
"chia",57.01874186948,"alto"
"chia",55.553113412767,"alto"
"chia",51.831455224634,"alto"
"chia",52.095064370658,"alto"
"chia",19.4361114916292,"saludable"
"chia",51.165465404565,"alto"
"chia",69.010739661962,"alto"
"chia",31.147560424328,"riesgoso"
"chia",0.621486900111606,"saludable"
"chia",53.812836926176,"alto"
"chia",53.595206160283,"alto"
"chia",20.686106071221,"riesgoso"
"chia",80.966545366773,"alto"
"chia",6.1621887435216,"saludable"
"chia",40.453131485401,"riesgoso"
"chia",-37.9620322055334,"saludable"
"chia",25.133841629153,"riesgoso"
"chia",63.925949743767,"alto"
"chia",16.3336207121863,"saludable"
"chia",3.02501053383379,"saludable"
"chia",51.805167051937,"alto"
"chia",5.716772944043,"saludable"
"chia",38.012553478657,"riesgoso"
"chia",-22.1179113160078,"saludable"
"chia",-12.3427540742662,"saludable"
"chia",16.3934631966454,"saludable"
"chia",-1.0647382610418,"saludable"
"chia",70.864286797779,"alto"
"chia",57.523702109251,"alto"
"chia",6.44573516769501,"saludable"
